Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop
2002-06-30,2.653900488596581,-0.09983407889920014,0.3,4.480834,0.008577824,-0.008059502
2002-07-31,2.705825506080099,-0.19869011034923423,-0.3,4.4827886,-0.002298832,0.008577824
2002-08-31,2.7551240799470524,-0.19869011034923423,0.1,4.4868236,0.0071816444,-0.002298832
2002-09-30,2.7979151723327456,-0.09983407889920014,0.1,4.4902544,-0.0040569305,0.0071816444
2002-10-31,2.767678785333321,-0.09983407889920014,-0.1,4.4932194,0.008193493,-0.0040569305
2002-11-30,2.6723421359806343,-0.09983407889920014,0.0,4.494311,0.02069807,0.008193493
2002-12-31,2.783937719418004,7.327471962526006e-15,0.1,4.497813,0.001888752,0.02069807
2003-01-31,2.8925599425767174,0.19869011034924872,0.1,4.4944043,-0.024254322,0.001888752
2003-02-28,2.972311999345892,0.4812118250596101,0.1,4.5055285,0.0058817863,-0.024254322
2003-03-31,2.9038149177955064,0.4812118250596101,-0.3,4.505279,0.023600578,0.0058817863
2003-04-30,2.7356851913405116,0.568824898732254,0.1,4.5058036,0.0074043274,0.023600578
2003-05-31,2.733422682277514,0.39003531977072226,-0.3,4.5028596,-0.0154829025,0.0074043274
2003-06-30,2.820051642587098,0.2956730475634296,0.1,4.50128,-0.0005412102,-0.0154829025
2003-07-31,2.818081338404455,0.4812118250596101,0.3,4.505892,-0.01163578,-0.0005412102
2003-08-31,2.8403613373215033,0.4812118250596101,-0.2,4.513267,0.009175777,-0.01163578
2003-09-30,2.7267823517221155,0.4812118250596101,0.0,4.511975,0.006611824,0.009175777
2003-10-31,2.797492369295502,0.7326682560454165,0.3,4.5214176,0.008677483,0.006611824
2003-11-30,2.821700584980429,0.7326682560454165,-0.3,4.530474,0.013726234,0.008677483
2003-12-31,2.85252775462423,1.0784510589549015,0.5,4.5337734,0.0033521652,0.013726234
2004-01-31,2.912082244267066,1.0784510589549015,-0.5,4.541109,0.017717361,0.0033521652
2004-02-29,2.923558896253373,1.1379820462933719,0.1,4.539492,-0.003042221,0.017717361
2004-03-31,2.977937250195534,1.015973134179697,-0.3,4.552454,-0.0003414154,-0.003042221
2004-04-30,2.9744290545509604,1.015973134179697,0.2,4.5522184,-0.0009903908,-0.0003414154
2004-05-31,3.063520026687174,0.7326682560454167,-0.4,4.558726,-0.00043916702,-0.0009903908
2004-06-30,3.002064748540911,0.6526665660823618,0.3,4.562057,-0.005098343,-0.00043916702
2004-07-31,3.0688765723372784,0.5688248987322541,0.0,4.561293,0.02157402,-0.005098343
2004-08-31,3.1676937961274967,0.5688248987322541,0.1,4.568147,0.0073919296,0.02157402
2004-09-30,3.1867531486139598,0.5688248987322541,0.0,4.568674,-0.01411581,0.0073919296
2004-10-31,3.326686167436757,0.4812118250596102,-0.1,4.5727,0.008624554,-0.01411581
2004-11-30,3.2299772513248723,0.7326682560454167,0.4,4.5771914,0.008363724,0.008624554
2004-12-31,3.1180837716883105,0.6526665660823622,-0.4,4.5786633,-0.0041661263,0.008363724
