Period_dt,lwti,lpri,d2pri,llwip,dllgop,l2lwip,dl2lgop,vix,gs10,tb3ms,tedrate,baa10y,us_spread,brent,gold,bdi,cny_usd,indpro,unemp,sentiment,cpi,gpr_chn_l1,gpr_usa_l1,dxy
2000-04-30,2.7121377980345267,0.09983407889921521,0.0,4.455104,0.0004954338,4.4500885,0.009224415,22.718260806539785,6.26,5.69,0.5021739130434782,2.3,2.3,-0.01048210425883589,-0.045961180790969,0.04632485795762342,1.2079264131603651e-05,0.00354941252967933,4.0,107.1,0.0058651194523982,0.2764623761177063,1.0100457668304443,-0.0133152552822819
2000-05-31,2.8220184237396713,0.09983407889921521,0.0,4.4649663,0.009771824,4.455104,0.0004954338,27.16421077125951,5.99,5.66,0.6499999999999999,2.34,2.34,-0.1884800832385345,-0.023672671299076242,-0.08853709995253745,0.00014493978984919664,0.005934581411047191,3.8,109.2,-0.0005849663811146,0.20688414573669434,1.0314223766326904,0.0377917323154202
2000-06-30,2.9169228352884624,0.19869011034924872,0.1,4.4699917,0.0076208115,4.4649663,0.009771824,26.373181863264605,6.44,5.79,0.959047619047619,2.52,2.52,0.19758971563204675,-0.016220078787037906,-0.08447976702852955,-0.0003140627668170026,0.0027040320534066353,4.0,110.7,0.0017538735860958,0.3068792223930359,1.392322301864624,-0.0014720929074432
2000-07-31,2.8471153758631433,0.19869011034924872,-0.1,4.470991,-0.0029597282,4.4699917,0.0076208115,21.539999961853027,6.1,5.69,1.1036363636363637,2.4,2.4,0.07156626965834167,0.03758554078465082,0.08413258976442961,0.00010872519717164408,0.00039045672638238216,4.0,106.4,0.0058241282859885,0.3349747955799103,1.2740495204925537,-0.0172997876814369
2000-08-31,2.8946731159227443,0.19869011034924872,0.0,4.474602,0.009077072,4.470991,-0.0029597282,19.89300012588501,6.05,5.96,0.775,2.27,2.27,-0.03807281969436671,-0.01459519668461784,0.07700158979632832,0.00012079191192038152,-0.0019527324535886237,4.0,108.3,0.0028993931590024,0.33508288860321045,0.9578033089637756,0.0212522359165836
2000-09-30,2.9712412535456956,0.29567304756342977,0.1,4.479441,0.012024403,4.474602,0.009077072,18.08869569197945,5.83,6.09,0.5990909090909091,2.51,2.51,0.05142931485860647,-0.025610146930153732,0.00478619670425573,-7.247339625582327e-05,-0.00272663339275514,4.1,107.3,0.0,0.186522975564003,0.820108950138092,0.0084442108829261
2000-10-31,2.9456186347833446,0.29567304756342977,-0.1,4.477215,0.00024032593,4.479441,0.012024403,19.6875,5.8,6.0,0.6775,2.54,2.54,0.09317234721427559,-0.002882424690204388,-0.06261239364249604,0.00014494154049904395,0.004604083024880801,3.9,106.8,0.0051978170736175,0.2797124683856964,1.104864239692688,0.0107805647160832
2000-11-30,2.9830226859490416,0.39003531977072237,0.1,4.480524,0.0062713623,4.477215,0.00024032593,25.200000069358133,5.74,6.11,0.67,2.56,2.56,-0.06815928053206788,-0.013537581670973964,-0.0689476778412228,-0.00027782307680501717,-0.003893384717707171,3.9,105.8,0.0017266191339873,0.18147821724414825,1.7102947235107422,0.0237056113550861
2000-12-31,2.7911721352442957,0.39003531977072237,-0.1,4.4841566,0.007912636,4.480524,0.0062713623,26.382857095627557,5.72,6.17,0.58,2.64,2.64,0.05012177717567212,-0.014888056938350047,-0.008304242291490738,2.4161592733218384e-05,0.00027960447484520756,3.9,107.6,0.001723643058165,0.16129480302333832,0.9510831832885742,-0.0011952811765407
2001-01-31,2.824059962069729,0.19869011034924872,-0.2,4.487725,-0.017967701,4.4841566,0.007912636,26.530499839782713,5.24,5.77,0.7684210526315789,2.88,2.88,-0.23791382968006802,0.02024405829143472,-0.005618392761567392,-3.624260802181922e-05,-0.0032683707203071677,3.9,98.4,0.002293578987099,0.1759856790304184,0.9818148016929626,-0.0330092537211008
