dyad,h,coef,se,n,sig
CHN-FRA,26,0.681012551589447,0.5104959637283423,357,0
CHN-FRA,27,0.9391427290502179,0.47350143496465136,356,1
CHN-FRA,28,1.1070529695825826,0.511717253664661,355,1
CHN-FRA,29,1.0459663320016261,0.49086054117729366,354,1
CHN-FRA,30,1.1078207940954599,0.5126607998631387,353,1
CHN-FRA,31,1.2467947856057435,0.5216603197424844,352,1
CHN-FRA,32,1.2337159383332619,0.5289364916112625,351,1
CHN-FRA,33,1.2413601406533417,0.4473726455478477,350,1
CHN-FRA,34,1.3585983154480346,0.44696731042528676,349,1
CHN-FRA,35,1.2990723191487632,0.4651811402280403,348,1
CHN-FRA,36,1.3363336398488173,0.5173746904620725,347,1
CHN-FRA,37,1.2602085646831256,0.48142164368490536,346,1
CHN-FRA,38,1.1751814166327677,0.4411303282245889,345,1
CHN-FRA,39,1.1865286798583838,0.39803246230385014,344,1
CHN-FRA,40,1.2080528334190603,0.4162570719796832,343,1
CHN-FRA,41,1.32531116424434,0.431615412959441,342,1
CHN-FRA,42,1.3813979845781432,0.4325139414076315,341,1
CHN-FRA,43,1.8076509895836352,0.47613376983734274,340,1
CHN-FRA,44,1.778963800126803,0.5394136316113821,339,1
CHN-FRA,45,1.6873328315687104,0.5623506676390503,338,1
CHN-FRA,46,1.8287270242399245,0.6298648431190348,337,1
CHN-FRA,47,1.879255738504071,0.6760394258468007,336,1
CHN-FRA,48,1.543566310661845,0.6288239085985247,335,1
CHN-DEU,0,-0.42510159551602555,0.24773607772115047,383,1
CHN-DEU,1,-0.3324701134333736,0.38926090146473497,382,0
CHN-DEU,2,0.06646537288906984,0.5285000053224435,381,0
CHN-DEU,3,-0.47912860009091673,0.5842071262980175,380,0
CHN-DEU,4,-0.4963903870084323,0.6481074787221153,379,0
CHN-DEU,5,-0.22088761135819368,0.6707448283629969,378,0
CHN-DEU,6,0.06578027165232925,0.6364493577557763,377,0
CHN-DEU,7,0.08487597354542231,0.8292496519880282,376,0
CHN-DEU,8,0.623378791155119,0.9581809656832972,375,0
CHN-DEU,9,1.0019779734502663,0.8770047838110393,374,0
CHN-DEU,10,1.5666141501715174,0.8120238984940206,373,1
CHN-DEU,11,1.872150583032635,0.8735443020402996,372,1
CHN-DEU,12,2.041561224970792,0.905326442251251,371,1
CHN-DEU,13,2.2751686612464255,0.9892074772501743,370,1
CHN-DEU,14,2.629891562864941,1.1166806109998946,369,1
CHN-DEU,15,2.891512050489837,1.2114856968986425,368,1
CHN-DEU,16,2.4661433994042454,1.2386902716986374,367,1
CHN-DEU,17,2.3889111510361545,1.1475387519613323,366,1
CHN-DEU,18,2.8684375859447755,1.284087702275462,365,1
CHN-DEU,19,2.571628592137131,1.3179149003074928,364,1
CHN-DEU,20,2.4591697088399087,1.2249386620674123,363,1
CHN-DEU,21,2.1858255180777633,1.2221109311282896,362,1
CHN-DEU,22,2.3976584592164727,1.1431427173490483,361,1
CHN-DEU,23,1.8810249995149206,1.1049160533316569,360,1
CHN-DEU,24,2.1494115245586727,1.3351219850880984,359,0
CHN-DEU,25,1.9414872235283838,1.600314208496399,358,0
CHN-DEU,26,2.4114758931318647,1.4915248908040526,357,0
CHN-DEU,27,1.9983156437447178,1.6247320050500846,356,0
CHN-DEU,28,2.3218891375072417,1.4870383695433673,355,0
CHN-DEU,29,2.4147748540126486,1.2558353190057943,354,1
CHN-DEU,30,2.671176666430256,1.2392287423527468,353,1
CHN-DEU,31,2.283648068718321,1.3064113899470577,352,1
CHN-DEU,32,2.737675416690763,1.2492232220082657,351,1
CHN-DEU,33,2.246985813319043,1.2284311902330527,350,1
CHN-DEU,34,2.0748257391460356,1.1673418584774216,349,1
CHN-DEU,35,1.5718410759691324,1.1721293382010791,348,0
CHN-DEU,36,2.2225037304779107,1.187037894450285,347,1
CHN-DEU,37,2.0922833248732786,1.2816026072218352,346,0
CHN-DEU,38,2.2685046098267776,1.221077270884563,345,1
CHN-DEU,39,2.2043854508228833,1.3528121050402775,344,0
CHN-DEU,40,2.159435236288118,1.3700244801127868,343,0
CHN-DEU,41,0.9897248326160479,1.293072809353213,342,0
CHN-DEU,42,1.0416458164509095,1.1899866958776681,341,0
CHN-DEU,43,1.2212643461280095,1.283501139460388,340,0
CHN-DEU,44,1.3461081899185956,1.1889540615673397,339,0
CHN-DEU,45,1.7705473380119656,1.2081436839399138,338,0
CHN-DEU,46,2.452071157134924,1.1783994719360318,337,1
CHN-DEU,47,2.240182561294205,1.2683000867041954,336,1
CHN-DEU,48,2.7098900800483534,1.314549070601042,335,1
CHN-GBR,0,-0.23585692091000965,0.16429693050744898,383,0
CHN-GBR,1,-0.3554230255267612,0.21894936996238207,382,0
CHN-GBR,2,-0.05606615826036432,0.26182001678074307,381,0
CHN-GBR,3,-0.06247484558298311,0.3266846473931029,380,0
CHN-GBR,4,-0.5426837218456058,0.40677808352737554,379,0
CHN-GBR,5,-0.4243259642062185,0.36464608771951884,378,0
CHN-GBR,6,-0.062269405700135394,0.44918902120879994,377,0
CHN-GBR,7,-0.7510646061928128,0.39468664239562873,376,1
CHN-GBR,8,-0.7982447150461667,0.41693259743060535,375,1
CHN-GBR,9,-0.29579567079963454,0.4494244953756156,374,0
CHN-GBR,10,-0.07643420139356749,0.3929189089553533,373,0
CHN-GBR,11,-0.4430132054767455,0.4868532547221575,372,0
CHN-GBR,12,-0.23248716984926432,0.6505668100032179,371,0
CHN-GBR,13,0.31446029065136827,0.5723366093386462,370,0
CHN-GBR,14,0.8908617765482632,0.6873049569625406,369,0
CHN-GBR,15,0.19015124986435694,0.5452230890815615,368,0
CHN-GBR,16,0.2736234496078396,0.5270464522488574,367,0
CHN-GBR,17,0.16412934570871585,0.5493144007026307,366,0
CHN-GBR,18,0.17915583735521068,0.60866729567352,365,0
CHN-GBR,19,0.5299941476896493,0.671974244716964,364,0
CHN-GBR,20,1.1270727863156935,0.5072679792909426,363,1
CHN-GBR,21,1.659969699325302,0.5772285203402495,362,1
CHN-GBR,22,2.104963371239137,0.7447114599156923,361,1
CHN-GBR,23,1.6088136133366788,0.6796326502925052,360,1
CHN-GBR,24,1.5285611178514955,0.6717718378951028,359,1
CHN-GBR,25,1.1946637522123638,0.6616938083727025,358,1
CHN-GBR,26,0.8664212444891746,0.7046589081317397,357,0
CHN-GBR,27,0.18418888945961953,0.6729330639163079,356,0
CHN-GBR,28,0.6796243332901213,0.5587234835799281,355,0
