outcome,h,coef,se,lo90,hi90
Log S&P 500 index,22,-0.09091666399217502,0.15525578618048305,-0.34631243225906966,0.16447910427471962
Log S&P 500 index,23,-0.1100710078899283,0.12956698375405643,-0.3232086961653511,0.10306668038549452
Log S&P 500 index,24,-0.02297043863654835,0.14419515421919113,-0.26017146732711777,0.21423059005402106
Log S&P 500 index,25,-0.1099702010396868,0.12444320278356694,-0.31467926961865444,0.09473886753928082
Log S&P 500 index,26,-0.10050888512341771,0.10603722133909871,-0.2749401142262351,0.07392234397939967
Log S&P 500 index,27,-0.09099037454870995,0.0982278804987435,-0.252575237969143,0.0705944888717231
Log S&P 500 index,28,-0.22185517092293594,0.13101343624634884,-0.43737227354817976,-0.0063380682976920955
Log S&P 500 index,29,-0.18697842917754315,0.12445811815774348,-0.39171203354703116,0.01775517519194486
Log S&P 500 index,30,-0.20024482830194756,0.1286438165567644,-0.411863906537825,0.01137424993392988
Log S&P 500 index,31,-0.043518137506907806,0.1289959895242722,-0.25571654027433555,0.16868026526051993
Log S&P 500 index,32,-0.04989352538541425,0.12351307675564302,-0.25307253664844703,0.15328548587761853
Log S&P 500 index,33,0.08094797957164701,0.1572157443951472,-0.17767191995837017,0.3395678791016642
Log S&P 500 index,34,-0.003917299618478864,0.14568895168420182,-0.24357562513899086,0.23574102590203314
Log S&P 500 index,35,-0.07693924100021832,0.14294281378844736,-0.31208016968221425,0.15820168768177761
Log S&P 500 index,36,-0.041383809701073915,0.10815524353716108,-0.21929918531970388,0.13653156591755605
Log S&P 500 index,37,0.04305136240145657,0.09797790422378061,-0.11812229004666253,0.20422501484957567
Log S&P 500 index,38,0.16960776592895854,0.0864123030058292,0.027459527484369528,0.31175600437354756
Log S&P 500 index,39,,,,
Log S&P 500 index,40,,,,
Log S&P 500 index,41,,,,
Log S&P 500 index,42,,,,
Log S&P 500 index,43,,,,
Log S&P 500 index,44,,,,
Log S&P 500 index,45,,,,
Log S&P 500 index,46,,,,
Log S&P 500 index,47,,,,
Log S&P 500 index,48,,,,
