dyad,h,coef,se,lo90,hi90
South Korea,42,-0.11681081274127791,0.4043898621997216,-0.78203213605982,0.5484105105772642
South Korea,43,-0.09953329387235499,0.5093565076695681,-0.9374247489887945,0.7383581612440845
South Korea,44,-0.08343875950185975,0.6104665247944749,-1.0876561927887711,0.9207786737850516
South Korea,45,-0.12887814268538023,0.5452353250326606,-1.025790252364107,0.7680339669933465
South Korea,46,-0.23468201926584698,0.5226659813851341,-1.0944675586443926,0.6251035201126987
South Korea,47,-0.30327005920162264,0.603697696745202,-1.29635277034748,0.6898126519442347
South Korea,48,-0.39822143810306443,0.6986207727543207,-1.547452609283922,0.7510097330777932
France,0,-0.07984533393755555,0.19690866386186662,-0.40376008599032615,0.24406941811521504
France,1,0.13876119338237913,0.3457121700209644,-0.4299353263021073,0.7074577130668656
France,2,-0.00571577510163479,0.5127442178949123,-0.8491800135387656,0.837748463335496
France,3,-0.04318935514857003,0.5355028188433489,-0.924091492145879,0.837712781848739
France,4,-0.06216560814209515,0.5786059310254794,-1.0139723646790086,0.8896411483948184
France,5,0.12859545673200046,0.5079831666620579,-0.7070368524270848,0.9642277658910857
France,6,0.2897482151420263,0.4681498890025348,-0.4803583522671434,1.059854782551196
France,7,0.32491746764208074,0.46308570619642453,-0.4368585190510377,1.0866934543351991
France,8,0.17214108224106894,0.5209411062258092,-0.6848070375003873,1.0290892019825253
France,9,0.19550865619930846,0.6084075611249412,-0.8053217818512199,1.1963390942498369
France,10,0.3267804025381338,0.6649098251967774,-0.7669962599105651,1.4205570649868327
France,11,0.2442968626619404,0.683078474858572,-0.8793672284804106,1.3679609538042914
France,12,0.023433724483766127,0.6830565102357801,-1.100194234854092,1.1470616838216243
France,13,0.49335987266749726,0.8184458133476118,-0.8529834902893241,1.8397032356243186
France,14,0.20562624364356452,0.8120906648339713,-1.1302629000083182,1.5415153872954472
France,15,0.19403532620890473,0.7988442150344357,-1.120063407522742,1.5081340599405515
France,16,0.3080100234983547,0.8285501652841193,-1.0549549983940216,1.670975045390731
France,17,0.21937976896697364,0.7417923070294968,-1.0008685760965486,1.4396281140304958
France,18,0.029372238261203165,0.7885962202271779,-1.2678685440125046,1.326613020534911
France,19,0.10259719588975713,0.8930997982811157,-1.3665519722826782,1.5717463640621925
France,20,0.009860360782113275,0.9807864832797207,-1.6035334042130274,1.623254125777254
France,21,0.09352784922521096,0.9164955409883279,-1.4141073157005883,1.6011630141510103
France,22,-0.0601069929816731,0.9160025788759046,-1.5669312352325362,1.44671724926919
France,23,0.179654869800288,0.7716287567474766,-1.089674435049311,1.448984174649887
France,24,0.2771383549006714,0.7262582083691284,-0.9175563978665449,1.4718331076678877
France,25,0.44953645322311786,0.7517978124619162,-0.7871709482767344,1.6862438547229701
France,26,0.347522870031753,0.7315591830999808,-0.8558919861677154,1.5509377262312214
France,27,0.530999077429442,0.7382814630807707,-0.6834739293384258,1.7454720841973097
France,28,0.5227918996806693,0.7636119260250138,-0.7333497186304785,1.778933517991817
France,29,0.41764576120476704,0.7089809431487837,-0.7486278902749821,1.5839194126845162
France,30,0.37508460404387733,0.7147941199614509,-0.8007517232927095,1.5509209313804642
France,31,0.5846819508315093,0.6934058418950836,-0.5559706590859033,1.7253345607489219
France,32,0.5850707004428841,0.6701472791390868,-0.5173215737409136,1.6874629746266818
France,33,0.5189977674763213,0.6470202657522842,-0.5453505696861862,1.5833461046388289
France,34,0.4666770574367547,0.6303796033011356,-0.5702973899936135,1.5036515048671228
France,35,0.3518233749364299,0.636577033408477,-0.6953458450205148,1.3989925948933746
France,36,0.5518819328553946,0.6484943478363852,-0.514891269335459,1.6186551350462481
France,37,0.2986398774701229,0.617904004664233,-0.7178122102025404,1.3150919651427861
