Period_dt,corr_d2pri_wti_h6
2018-08-31,-0.034920653036885636
2018-09-30,-0.03714077414457404
2018-10-31,-0.027860185937806325
2018-11-30,-0.025800571282120884
2018-12-31,-0.026700765890817466
2019-01-31,-0.01635498450875468
2019-02-28,-0.005638496667378647
2019-03-31,-0.034812917827501524
2019-04-30,0.03344617166476021
2019-05-31,-0.01893695866477341
2019-06-30,-0.014599022562539546
2019-07-31,-0.010820126153359155
2019-08-31,-0.004443962352563507
2019-09-30,-0.0046561092415094135
2019-10-31,-0.06742277266407225
2019-11-30,-0.07546873263169707
2019-12-31,-0.05604063309206886
2020-01-31,-0.0635816133122328
2020-02-29,-0.05477812545896268
2020-03-31,-0.05505833759008869
2020-04-30,-0.05632694490551562
2020-05-31,-0.04053029741432583
2020-06-30,-0.02422404384488617
2020-07-31,-0.05142395127100541
2020-08-31,-0.015390649920956989
2020-09-30,0.002399790418647608
2020-10-31,-0.013783470322774246
2020-11-30,-0.01289232652072409
2020-12-31,-0.018103163843250277
2021-01-31,-0.008070975220525438
2021-02-28,-0.005653762469289948
2021-03-31,-0.017820515680029885
2021-04-30,-0.023095737272294276
2021-05-31,-0.030324837020103804
2021-06-30,-0.030966289322037762
2021-07-31,-0.024318234421620365
2021-08-31,-0.026497766271212184
