h,beta_L,beta_H,se_L,se_H,diff,se_diff,p_diff,n,beta_L_lo90,beta_L_hi90,beta_H_lo90,beta_H_hi90,diff_lo90,diff_hi90
37,0.37744777388430756,-0.5301260650578314,0.20466320544625408,0.5818902107534054,-0.907573838942139,0.758665690023927,0.2315887262774532,345,0.040776800925219625,0.7141187468433955,-1.4873354617471835,0.42708333163152046,-2.1555788990314992,0.3404312211472209
38,0.3453075783603351,-0.5555697738713441,0.2054865436573535,0.5840130182454313,-0.9008773522316792,0.7603204744853257,0.23607070639191452,344,0.0072822140439886,0.6833329426766817,-1.5162711888850786,0.4051316411423904,-2.15160453276004,0.34984982829668165
39,0.3178681291750408,-0.43509636221398673,0.2254926716989698,0.5727554833129159,-0.7529644913890275,0.7710340083840206,0.3287847688310406,343,-0.053067315769764534,0.6888035741198462,-1.3772791322637334,0.50708640783576,-2.0213154351807416,0.5153864524026864
40,0.2657040058359881,-0.4355416617066721,0.24057956824488783,0.588349832711336,-0.7012456675426602,0.803887488776168,0.3830348248806077,342,-0.1300493839268524,0.6614573955988285,-1.40337713651682,0.5322938131034757,-2.0236405865794564,0.6211492514941361
41,0.1908999044182858,-0.46472573612315177,0.23406325036152398,0.5972340576126275,-0.6556256405414376,0.8003287287974614,0.4126749194297208,341,-0.19413414242642113,0.5759339512629927,-1.447175760895924,0.5177242886496205,-1.9721663994132617,0.6609151183303865
42,0.2253925498279552,-0.4301611236986398,0.2177629785203429,0.6036118041114487,-0.655553673526595,0.7804358753511723,0.4009173394744474,340,-0.13282754983800887,0.5836126494939193,-1.4231025414619727,0.5627802940646932,-1.9393706884792734,0.6282633414260834
43,0.22649400153285798,-0.42624642960907855,0.21516126565675558,0.5662707203490762,-0.6527404311419365,0.7488317629680987,0.383383877589758,339,-0.12744628047250495,0.5804342835382209,-1.3577617645833089,0.5052689053651518,-1.8845686812244589,0.5790878189405859
44,0.2643799805025288,-0.4689838730973917,0.20063144419842668,0.5099716744876237,-0.7333638535999205,0.6819573913298754,0.28220429492290666,338,-0.0656587452038831,0.5944187062089408,-1.3078872776295327,0.36991953143474926,-1.8551837623375655,0.3884560551377245
45,0.2708211298496701,-0.6327667915365391,0.19970201235920493,0.5136366234900044,-0.9035879213862092,0.683785947729654,0.18635186045629437,337,-0.057688680481222,0.5993309401805622,-1.4776990371775964,0.21216545410451804,-2.0284158054014902,0.22123996262907153
46,0.2506700430173826,-0.5941499025277142,0.20164030059291388,0.5217510579968864,-0.8448199455450968,0.6941738267936142,0.2235985166132235,336,-0.08102825145796072,0.582368337492726,-1.4524303929325924,0.2641305878771639,-1.9867358906205919,0.29709599953039845
47,0.2515346143505116,-0.5613208467651207,0.20820762320136288,0.582783375554216,-0.8128554611156323,0.7480641545273596,0.2772083348290424,335,-0.09096692581573035,0.5940361545167536,-1.519999499551806,0.39735780602156456,-2.043420995313139,0.41771007308187424
48,0.1545189213736466,-0.4179863812550132,0.22379445336336853,0.6613084108149113,-0.5725053026286597,0.832680123777559,0.49173916677982543,334,-0.21362295440909468,0.5226607971563879,-1.5058387170455423,0.669865954535516,-1.9422641062427441,0.7972535009854247
