,ea_gpr,ea_gpr_diff
2012-06-01,0.8652368651745591,0.005036127140712332
2012-07-01,1.0707857470051014,0.20554888183054232
2012-08-01,1.102253663732608,0.031467916727506484
2012-09-01,0.9353339456567351,-0.1669197180758728
2012-10-01,0.8974611393044627,-0.037872806352272415
2012-11-01,0.942784997248693,0.04532385794423033
2012-12-01,0.9006445497513087,-0.042140447497384326
2013-01-01,1.1202120179579498,0.21956746820664108
2013-02-01,1.0224517565486129,-0.09776026140933691
2013-03-01,1.0204515632611937,-0.002000193287419183
2013-04-01,1.016533872240939,-0.003917691020254743
2013-05-01,0.9666936507627425,-0.049840221478196445
2013-06-01,0.9220496378841976,-0.044644012878544914
2013-07-01,1.0530741259548417,0.13102448807064415
2013-08-01,1.2417358794259283,0.1886617534710866
2013-09-01,1.1448554262970032,-0.09688045312892513
2013-10-01,0.8975120133239862,-0.24734341297301699
2013-11-01,1.001326967357535,0.10381495403354868
2013-12-01,0.9913662444285816,-0.009960722928953336
2014-01-01,0.9526387846884342,-0.03872745974014735
2014-02-01,0.9688734991871017,0.016234714498667535
2014-03-01,1.5300403610044322,0.5611668618173304
2014-04-01,1.2709710159343393,-0.25906934507009294
2014-05-01,1.2104910522863364,-0.0604799636480029
2014-06-01,1.3664226135520736,0.15593156126573726
2014-07-01,1.7488761892031965,0.3824535756511229
2014-08-01,2.02649581624241,0.2776196270392133
2014-09-01,1.6355049352181594,-0.3909908810242504
2014-10-01,1.1353748428811443,-0.5001300923370151
2014-11-01,1.1160436259876383,-0.01933121689350603
2014-12-01,1.10991902849914,-0.006124597488498251
2015-01-01,1.4895150150017635,0.3795959865026235
2015-02-01,1.5035151984000976,0.014000183398334087
2015-03-01,1.2627366951369998,-0.2407785032630978
2015-04-01,1.275093347506945,0.012356652369945209
2015-05-01,1.0578229620817208,-0.21727038542522426
2015-06-01,1.1012765044009303,0.043453542319209504
2015-07-01,1.1628396668847047,0.06156316248377447
2015-08-01,1.184506045855765,0.021666378971060274
2015-09-01,1.1355890711972463,-0.04891697465851874
2015-10-01,1.1564851717320297,0.020896100534783413
2015-11-01,1.7551348063845293,0.5986496346524997
2015-12-01,1.2826542966265384,-0.47248050975799094
2016-01-01,1.434167991145344,0.1515136945188056
2016-02-01,1.247518869177884,-0.18664912196745997
2016-03-01,1.215287122413223,-0.03223174676466112
2016-04-01,1.1125107788539046,-0.1027763435593183
2016-05-01,1.1473404596448264,0.03482968079092186
2016-06-01,1.0078953200129759,-0.13944513963185057
2016-07-01,1.347049812458421,0.33915449244544504
2016-08-01,1.4127075922874153,0.06565777982899434
2016-09-01,1.1298895973779635,-0.2828179949094518
2016-10-01,1.211827079478252,0.0819374821002885
2016-11-01,1.1552542467694589,-0.0565728327087931
2016-12-01,1.2243296192372497,0.06907537246779083
2017-01-01,1.148486309832406,-0.07584330940484363
2017-02-01,1.0867803426790916,-0.061705967153314445
2017-03-01,1.0732040738719082,-0.013576268807183434
2017-04-01,1.4051445261033806,0.3319404522314724
2017-05-01,1.0349002468826745,-0.37024427922070613
2017-06-01,1.1287852228437312,0.09388497596105672
2017-07-01,1.1275822981986046,-0.001202924645126613
2017-08-01,1.7245123926820816,0.596930094483477
2017-09-01,1.3315376164763557,-0.39297477620572585
2017-10-01,1.058383653219544,-0.2731539632568116
2017-11-01,1.0108281543555395,-0.047555498864004564
2017-12-01,1.014679228845837,0.0038510744902975347
2018-01-01,1.220368229909991,0.2056890010641539
2018-02-01,1.076709988862901,-0.1436582410470899
2018-03-01,1.2234791551577455,0.1467691662948445
2018-04-01,1.3412025404087642,0.11772338525101866
2018-05-01,1.355382550314835,0.014180009906070712
2018-06-01,1.0988457717605586,-0.25653677855427626
2018-07-01,1.1258644385428462,0.027018666782287593
2018-08-01,1.2216225563885799,0.09575811784573363
2018-09-01,1.0639838061260942,-0.15763875026248564
2018-10-01,1.0791346678359874,0.015150861709893215
2018-11-01,1.0661514103304068,-0.012983257505580603
2018-12-01,1.090666058298237,0.024514647967830205
2019-01-01,1.10455308596305,0.013887027664812868
2019-02-01,1.13403019031499,0.029477104351940175
2019-03-01,1.0475405617294522,-0.08648962858553788
2019-04-01,1.066396532428157,0.018855970698704816
2019-05-01,1.0929210349656096,0.026524502537452532
2019-06-01,1.154370634525378,0.061449599559768364
2019-07-01,1.1598291275325836,0.005458493007205689
2019-08-01,1.3313353465200604,0.17150621898747676
2019-09-01,1.0474464492364008,-0.2838888972836595
2019-10-01,1.4143936371961843,0.3669471879597834
2019-11-01,1.0634304098420777,-0.35096322735410657
2019-12-01,1.0741483427615954,0.010717932919517725
2020-01-01,1.3792620092657344,0.30511366650413896
2020-02-01,1.180928064982248,-0.19833394428348639
2020-03-01,1.168837342349958,-0.01209072263228994
2020-04-01,1.0418489568493667,-0.12698838550059133
2020-05-01,0.9944757772681474,-0.04737317958121934
2020-06-01,1.1083865707910823,0.11391079352293487
2020-07-01,1.085170763652719,-0.023215807138363243
2020-08-01,1.280353832829911,0.19518306917719208
2020-09-01,1.167997858450679,-0.11235597437923217
2020-10-01,1.2375933353924382,0.06959547694175927
