,gpr,gpr_threats,gpr_acts
2004-03-01,129.54968029787508,133.07729089336058,125.52306607487476
2004-04-01,154.7734705116788,157.42602850385882,146.11949046215332
2004-05-01,101.5494260313323,101.40532041182962,104.7182928971505
2004-06-01,101.57394767423563,101.28840377218759,101.28284522274511
2004-07-01,108.01539019099789,113.99905530899845,81.96972604520394
2004-08-01,143.30411404163155,145.55462760464084,125.65516745928711
2004-09-01,115.6441851186843,105.6200680231265,172.6438902835726
2004-10-01,91.98978630619806,87.5483341950057,116.16621482142556
2004-11-01,81.05767944365797,83.19403807280264,68.0641138750061
2004-12-01,74.73824155816851,74.13609576591281,75.5540761899286
2005-01-01,63.23379031186816,61.795705408485105,70.35088789278342
2005-02-01,74.63263628316174,76.3118410056126,69.55724109285406
2005-03-01,60.89470131969171,55.4423163661102,86.8762100394163
2005-04-01,57.59911407346138,58.587354426507964,52.112968437947295
2005-05-01,49.65717551873456,47.169178049171315,56.864661872595704
2005-06-01,54.62506538242785,49.74095445916002,72.70348163692351
2005-07-01,129.0958711736232,116.9126033112256,187.3381122084948
2005-08-01,73.22134839477239,70.10240642243917,92.40264636560192
2005-09-01,61.90704194935046,51.28655540863119,107.91190708989242
2005-10-01,66.18145692581116,61.43230811834787,91.10316475090156
2005-11-01,61.24225556216155,58.282722971505464,75.54120185322579
2005-12-01,59.12544097888331,56.06136611627457,71.28730920682895
2006-01-01,70.10053180541541,69.16178439448737,72.65081662616402
2006-02-01,73.61886772300946,79.02201901364175,44.506671406948136
2006-03-01,64.70400619216649,67.7226510841835,48.8084289935754
2006-04-01,76.17936297116485,76.99734411074907,73.1045772724522
2006-05-01,74.56664809900333,71.81179653156407,82.24688308016829
2006-06-01,85.28249213816838,75.69100240822605,139.47838356028487
2006-07-01,139.34464087050992,128.60902673586457,191.56334946751022
2006-08-01,170.49305514263537,160.18001885024538,219.51656515442082
2006-09-01,93.87856687293278,96.39139146576045,77.9792378259874
2006-10-01,88.16472985353965,92.32694365102226,63.425913536728565
2006-11-01,69.26984270829671,69.55792236635175,70.56464630669656
2006-12-01,70.30007052291599,74.30069773642872,48.271996254662476
2007-01-01,84.19908317223035,79.76172712222291,105.44192023742731
2007-02-01,83.89528380783818,80.58837583331929,102.03812264592322
2007-03-01,65.70258853064654,65.16845719318779,68.12692088865116
2007-04-01,67.73662163906795,63.6769626122041,80.71557969899989
2007-05-01,95.38646027204814,84.19295483147991,142.99758028400564
2007-06-01,72.69730184862063,72.92646526894498,74.94008073669755
2007-07-01,115.63776136602104,116.78626162865744,109.73475166074371
2007-08-01,62.68108062549447,58.11973679834897,80.13039094383241
2007-09-01,52.718842061558334,49.798287519914425,64.93714966063806
2007-10-01,105.11826086178941,113.27349865262151,63.08407681136811
2007-11-01,82.46328847753242,84.31227111383376,72.46276855831898
2007-12-01,82.53792780423483,83.5110106627875,77.23519400745997
2008-01-01,69.30016832847306,69.31370441367095,62.881709622380896
2008-02-01,69.93850083940039,67.92376820633575,78.14561676245427
2008-03-01,66.76914995324769,66.04281845335595,65.72321712121119
2008-04-01,53.90941681350744,52.55080914426241,57.066788587609494
2008-05-01,47.05473263532787,47.148502773796615,45.55039995456055
2008-06-01,70.63813437244812,71.9692085028295,66.63699703627225
2008-07-01,73.61768322337248,71.77266710809003,79.10448624902534
2008-08-01,98.35270574709183,104.88940917823967,72.60128188960086
