Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop,vix,gs10,brent,gold,bdi,cny_usd,indpro,gpr_chn_l1,gpr_usa_l1,L1_lwti,L2_lwti,L3_lwti,L1_lpri,L2_lpri,n_events_total,n_events_kw,gpr_kw_share,gpr_cameo_share_appendix,d2gpr_kw,gpr_kw_z,d2gpr_kw_z,built_from,n_days_sampled,gpr_global
1991-10-01,2.82908891820611,-0.5688248987322413,0.0,4.15602,0.017308235,-0.0116353035,16.956499767303466,7.65,0.0362142193125096,-0.0214744795649108,-0.0129647468548981,0.0006867048645426,0.0079016589511224,0.2104260176420211,2.7077460289001465,2.769710496528017,2.764872351047766,2.755370857292282,-0.5688248987322413,-0.5688248987322413,,,,,,,,gdelt1_raw_pilot,102,41.52860583993797
1991-11-01,2.7913253699306564,-0.5688248987322413,0.0,4.1588306,-0.00073719025,0.017308235,16.36391299703847,7.53,0.0798486414836157,0.0281318468103197,0.0194904415418211,0.0008345465651318,-0.0005466018382946,0.2407792508602142,2.334829092025757,2.82908891820611,2.769710496528017,2.764872351047766,-0.5688248987322413,-0.5688248987322413,,,,,,,,gdelt1_raw_pilot,102,35.20614493307963
1991-12-01,2.647754155303587,-0.5688248987322413,0.0,4.1591544,0.0040545464,-0.00073719025,17.77350010871887,7.42,-0.0506872516908223,0.0041176365108848,0.0406217513631244,0.003164940314829,-0.0015836157055426,0.3820476233959198,2.30000376701355,2.7913253699306564,2.82908891820611,2.769710496528017,-0.5688248987322413,-0.5688248987322413,,,,,,,,gdelt1_raw_pilot,102,44.118419015149165
1992-01-01,2.6106650814746124,-0.4812118250595971,0.1,4.151137,0.006696701,0.0040545464,18.347619102114724,7.09,-0.1367334612094204,0.0043219349723928,-0.0059028927115498,0.006685538700762,-0.0048743843095229,0.2532747685909271,2.528790235519409,2.647754155303587,2.7913253699306564,2.82908891820611,-0.5688248987322413,-0.5688248987322413,,,,,,,,gdelt1_raw_pilot,102,47.22535413140846
1992-02-01,2.6177538858718776,-0.4812118250595971,-0.1,4.1554,0.0018620491,0.006696701,17.68318167599765,7.03,-0.013524132210168,-0.0203307848819189,0.065038681038926,0.0038107847223627,-0.0052512640267554,0.3745461404323578,2.361933946609497,2.6106650814746124,2.647754155303587,2.7913253699306564,-0.4812118250595971,-0.5688248987322413,,,,,,,,gdelt1_raw_pilot,102,41.05422239823872
1992-03-01,2.6099852118403235,-0.3900353197707086,0.1,4.162302,-0.013759613,0.0018620491,17.47736850537752,7.34,-0.0060820216173214,-0.0015246487791653,0.0656142947012572,0.0026297542457223,0.0070348895922904,0.2844725549221039,2.1098380088806152,2.6177538858718776,2.6106650814746124,2.647754155303587,-0.4812118250595971,-0.4812118250595971,,,,,,,,gdelt1_raw_pilot,102,36.49836021407855
1992-04-01,2.675631742441108,-0.3900353197707086,-0.1,4.1613917,-0.010804176,-0.013759613,17.520454623482443,7.54,-0.0236860117207315,-0.0274131021735346,0.0493575893573545,-0.0003283413320023,0.0084895220004987,0.3248175084590912,1.981751799583435,2.6099852118403235,2.6177538858718776,2.6106650814746124,-0.3900353197707086,-0.4812118250595971,,,,,,,,gdelt1_raw_pilot,102,31.630067675132885
1992-05-01,2.707334125167566,-0.3900353197707086,0.0,4.163453,0.0060043335,-0.010804176,16.562856946672714,7.48,0.0705156650191005,-0.0167510066482403,0.0144535623088124,0.0077600774692381,0.0075614666667966,0.1472587287425995,1.9861048460006716,2.675631742441108,2.6099852118403235,2.6177538858718776,-0.3900353197707086,-0.3900353197707086,,,,,,,,gdelt1_raw_pilot,102,35.66094584082174
1992-06-01,2.770757996806049,-0.3900353197707086,0.0,4.1604896,-0.018938541,0.0060043335,15.076999950408936,7.39,0.0499724501436156,-0.0040836916456106,0.1285387533345812,-0.0034636936530139,0.0032856911647831,0.1970699727535247,1.825685977935791,2.707334125167566,2.675631742441108,2.6099852118403235,-0.3900353197707086,-0.3900353197707086,,,,,,,,gdelt1_raw_pilot,102,46.972483697732656
1992-07-01,2.739990162263676,-0.4812118250595971,-0.1,4.161874,0.0041017532,-0.018938541,15.203181873668324,7.26,0.0618850026408144,0.0105302941932006,0.0321547529126036,-0.0052820551564081,0.0005117224959834,0.1771342754364013,2.214178562164306,2.770757996806049,2.707334125167566,2.675631742441108,-0.3900353197707086,-0.3900353197707086,,,,,,,,gdelt1_raw_pilot,102,52.65489826835369
1992-08-01,2.7188814819387828,-0.4812118250595971,0.1,4.166548,0.007815838,0.0041017532,13.601818214763297,6.84,-0.0445376990638184,0.0343494038020066,0.0039264219501653,-0.0077548902289557,0.0091649380729315,0.0946073830127716,1.73699152469635,2.739990162263676,2.770757996806049,2.707334125167566,-0.4812118250595971,-0.3900353197707086,,,,,,,,gdelt1_raw_pilot,102,54.22308540513471
1992-09-01,2.7422792839828904,-0.9503469298211292,-0.6,4.159983,-0.00022172928,0.007815838,14.42190474555606,6.59,-0.0249384419658151,-0.0277691820680034,-0.0480635611179796,-0.0025061284239229,-0.0056075545766312,0.1743645370006561,1.8211407661437988,2.7188814819387828,2.739990162263676,2.770757996806049,-0.4812118250595971,-0.4812118250595971,,,,,,,,gdelt1_raw_pilot,102,33.94190420315111
