,n_events_total,n_events_kw,n_events_with_url,pct_events_with_url,gpr_hybrid_share,gpr_url_share,gpr_nourl_cameo_share,gpr_kw_share,d2gpr_kw
1995-11-01,315.0,8.0,0.0,0.0,0.025396825396825397,,0.025396825396825397,0.025396825396825397,-0.0029421725890759094
1995-12-01,257.0,15.0,0.0,0.0,0.058365758754863814,,0.058365758754863814,0.058365758754863814,0.034762440287497004
1996-01-01,386.0,25.0,0.0,0.0,0.06476683937823834,,0.06476683937823834,0.06476683937823834,-0.026567852734663895
1996-02-01,494.0,34.0,0.0,0.0,0.06882591093117409,,0.06882591093117409,0.06882591093117409,-0.002342009070438772
1996-03-01,915.0,53.0,0.0,0.0,0.05792349726775956,,0.05792349726775956,0.05792349726775956,-0.014961485216350282
1996-04-01,471.0,31.0,0.0,0.0,0.06581740976645435,,0.06581740976645435,0.06581740976645435,0.018796326162109314
1996-05-01,687.0,30.0,0.0,0.0,0.043668122270742356,,0.043668122270742356,0.043668122270742356,-0.030043199994406793
1996-06-01,526.0,19.0,0.0,0.0,0.03612167300380228,,0.03612167300380228,0.03612167300380228,0.014602838228771918
1996-07-01,523.0,24.0,0.0,0.0,0.045889101338432124,,0.045889101338432124,0.045889101338432124,0.017313877601569924
1996-08-01,483.0,21.0,0.0,0.0,0.043478260869565216,,0.043478260869565216,0.043478260869565216,-0.012178268803496754
1996-09-01,502.0,26.0,0.0,0.0,0.05179282868525897,,0.05179282868525897,0.05179282868525897,0.010725408284560659
1996-10-01,710.0,35.0,0.0,0.0,0.04929577464788732,,0.04929577464788732,0.04929577464788732,-0.010811621853065397
1996-11-01,1047.0,64.0,0.0,0.0,0.061127029608404965,,0.061127029608404965,0.061127029608404965,0.01432830899788929
1996-12-01,732.0,34.0,0.0,0.0,0.04644808743169399,,0.04644808743169399,0.04644808743169399,-0.026510197137228624
1997-01-01,663.0,30.0,0.0,0.0,0.04524886877828054,,0.04524886877828054,0.04524886877828054,0.013479723523297522
1997-02-01,733.0,45.0,0.0,0.0,0.061391541609822645,,0.061391541609822645,0.061391541609822645,0.017341891484955553
1997-03-01,1072.0,45.0,0.0,0.0,0.04197761194029851,,0.04197761194029851,0.04197761194029851,-0.035556602501066244
1997-04-01,854.0,39.0,0.0,0.0,0.04566744730679157,,0.04566744730679157,0.04566744730679157,0.023103765036017195
1997-05-01,512.0,15.0,0.0,0.0,0.029296875,,0.029296875,0.029296875,-0.020060407673284632
1997-06-01,688.0,41.0,0.0,0.0,0.059593023255813955,,0.059593023255813955,0.059593023255813955,0.046666720562605526
1997-07-01,495.0,25.0,0.0,0.0,0.050505050505050504,,0.050505050505050504,0.050505050505050504,-0.0393841210065774
1997-08-01,868.0,23.0,0.0,0.0,0.026497695852534562,,0.026497695852534562,0.026497695852534562,-0.014919381901752495
1997-09-01,700.0,26.0,0.0,0.0,0.037142857142857144,,0.037142857142857144,0.037142857142857144,0.034652515942838524
1997-10-01,1991.0,86.0,0.0,0.0,0.043194374686087396,,0.043194374686087396,0.043194374686087396,-0.00459364374709233
1997-11-01,1486.0,36.0,0.0,0.0,0.024226110363391656,,0.024226110363391656,0.024226110363391656,-0.02501978186592599
1997-12-01,806.0,11.0,0.0,0.0,0.013647642679900745,,0.013647642679900745,0.013647642679900745,0.008389796639204826
1998-01-01,491.0,19.0,0.0,0.0,0.038696537678207736,,0.038696537678207736,0.038696537678207736,0.035627362681797906
1998-02-01,983.0,29.0,0.0,0.0,0.029501525940996948,,0.029501525940996948,0.029501525940996948,-0.034243906735517776
1998-03-01,1152.0,34.0,0.0,0.0,0.029513888888888888,,0.029513888888888888,0.029513888888888888,0.009207374685102729
1998-04-01,969.0,30.0,0.0,0.0,0.030959752321981424,,0.030959752321981424,0.030959752321981424,0.0014335004852005957
1998-05-01,786.0,48.0,0.0,0.0,0.061068702290076333,,0.061068702290076333,0.061068702290076333,0.028663086535002373
1998-06-01,2301.0,93.0,0.0,0.0,0.04041720990873533,,0.04041720990873533,0.04041720990873533,-0.050760442349435914
1998-07-01,1051.0,38.0,0.0,0.0,0.03615604186489058,,0.03615604186489058,0.03615604186489058,0.01639032433749625
1998-08-01,379.0,10.0,0.0,0.0,0.026385224274406333,,0.026385224274406333,0.026385224274406333,-0.005509649546639503
1998-09-01,529.0,32.0,0.0,0.0,0.06049149338374291,,0.06049149338374291,0.06049149338374291,0.04387708669982083
1998-10-01,483.0,21.0,0.0,0.0,0.043478260869565216,,0.043478260869565216,0.043478260869565216,-0.05111950162351428
1998-11-01,670.0,31.0,0.0,0.0,0.04626865671641791,,0.04626865671641791,0.04626865671641791,0.01980362836103039
1998-12-01,597.0,27.0,0.0,0.0,0.04522613065326633,,0.04522613065326633,0.04522613065326633,-0.0038329219100042694
1999-01-01,782.0,54.0,0.0,0.0,0.06905370843989769,,0.06905370843989769,0.06905370843989769,0.024870103849782936
1999-02-01,499.0,23.0,0.0,0.0,0.04609218436873747,,0.04609218436873747,0.04609218436873747,-0.04678910185779159
1999-03-01,1125.0,74.0,0.0,0.0,0.06577777777777778,,0.06577777777777778,0.06577777777777778,0.04264711748020053
1999-04-01,2023.0,100.0,0.0,0.0,0.049431537320810674,,0.049431537320810674,0.049431537320810674,-0.03603183386600741
1999-05-01,1844.0,110.0,0.0,0.0,0.0596529284164859,,0.0596529284164859,0.0596529284164859,0.026567631552642336
1999-06-01,915.0,41.0,0.0,0.0,0.04480874316939891,,0.04480874316939891,0.04480874316939891,-0.02506557634276222
1999-07-01,1437.0,71.0,0.0,0.0,0.049408489909533754,,0.049408489909533754,0.049408489909533754,0.019443931987221837
1999-08-01,1000.0,67.0,0.0,0.0,0.067,,0.067,0.067,0.012991763350331406
1999-09-01,976.0,36.0,0.0,0.0,0.036885245901639344,,0.036885245901639344,0.036885245901639344,-0.04770626418882691
