,n_events_total,n_events_kw,gpr_kw_share,gpr_cameo_share_appendix,d2gpr_kw,gpr_kw_z,d2gpr_kw_z,built_from,n_days_sampled
2018-01-01,134.0,13.0,0.09701492537313433,0.08208955223880597,-0.003753922461369793,0.08707742825952552,-0.06499924217285713,gdelt1_raw_pilot,102
2018-02-01,281.0,12.0,0.042704626334519574,0.07829181494661921,-0.08707941435588316,-0.8533064811095222,-1.5077817936397286,gdelt1_raw_pilot,102
2018-03-01,433.0,40.0,0.09237875288683603,0.10161662817551963,0.10398442559093121,0.0068020093362270405,1.800492399814797,gdelt1_raw_pilot,102
2018-04-01,165.0,18.0,0.10909090909090909,0.11515151515151516,-0.0329619703482434,0.29617332680951886,-0.5707371729724575,gdelt1_raw_pilot,102
2018-05-01,656.0,111.0,0.16920731707317074,0.05030487804878049,0.0434042517781886,1.3370901281585428,0.7515454838757321,gdelt1_raw_pilot,102
2018-06-01,551.0,85.0,0.1542649727767695,0.1088929219600726,-0.07505875227866289,1.0783631391099757,-1.299643790397591,gdelt1_raw_pilot,102
2018-07-01,213.0,32.0,0.15023474178403756,0.046948356807511735,0.010912113303669285,1.0085796092142758,0.18894345915286714,gdelt1_raw_pilot,102
2018-08-01,610.0,92.0,0.15081967213114755,0.1,0.004615161339841939,1.0187076898225744,0.07991161050399853,gdelt1_raw_pilot,102
2018-09-01,233.0,29.0,0.12446351931330472,0.03862660944206009,-0.026941083164952806,0.5623503789348373,-0.46648539149603585,gdelt1_raw_pilot,102
2018-10-01,547.0,82.0,0.14990859232175502,0.054844606946983544,0.051801225826293124,1.0029323247800326,0.8969392567329324,gdelt1_raw_pilot,102
2018-11-01,498.0,35.0,0.07028112449799197,0.07630522088353414,-0.10507254083221336,-0.37581886626069827,-1.8193331368859265,gdelt1_raw_pilot,102
2018-12-01,419.0,40.0,0.0954653937947494,0.059665871121718374,0.10481173712052048,0.06024725812298529,1.8148173154244143,gdelt1_raw_pilot,102
2019-01-01,259.0,44.0,0.16988416988416988,0.07335907335907337,0.049234506792663044,1.348809848059592,0.8524964655529232,gdelt1_raw_pilot,102
2019-02-01,578.0,57.0,0.0986159169550173,0.04325259515570934,-0.14568702901857306,0.11479862938138997,-2.522573808614809,gdelt1_raw_pilot,102
2019-03-01,613.0,59.0,0.09624796084828711,0.052202283849918436,0.0689002968224224,0.07379742223874491,1.193010011535557,gdelt1_raw_pilot,102
2019-04-01,469.0,40.0,0.08528784648187633,0.06609808102345416,-0.008592158259680599,-0.11597717627136707,-0.14877339136746692,gdelt1_raw_pilot,102
2019-05-01,607.0,95.0,0.15650741350906094,0.06260296540362438,0.0821796813935954,1.1171910450447464,1.4229428198262255,gdelt1_raw_pilot,102
2019-06-01,402.0,105.0,0.26119402985074625,0.04975124378109453,0.03346704931450069,2.9298418916920204,0.5794826253311605,gdelt1_raw_pilot,102
2019-07-01,640.0,68.0,0.10625,0.0359375,-0.25963064619243154,0.2469829293276033,-4.495509809011691,gdelt1_raw_pilot,102
2019-08-01,589.0,126.0,0.21392190152801357,0.035653650254668934,0.2626159313787598,2.1113240484240285,4.547200081460842,gdelt1_raw_pilot,102
