pub_date,headline,lead_paragraph,abstract,section_name,desk,type_of_material,web_url
1990-07-04 05:00:00,NEWS SUMMARY,,,New York,,Summary,https://www.nytimes.com/1990/07/04/nyregion/news-summary-071890.html
1990-07-07 05:00:00,Chinese Dissident Criticizes U.S. on Human Rights,,,World,,News,https://www.nytimes.com/1990/07/07/world/chinese-dissident-criticizes-us-on-human-rights.html
1990-07-08 05:00:00,U.S. Weighs a Shift on Cambodia Policy,,,World,,News,https://www.nytimes.com/1990/07/08/world/us-weighs-a-shift-on-cambodia-policy.html
1990-07-08 05:00:00,"EVOLUTION IN EUROPE;   Bush Accepts Japanese Aid to China, With Limits",,,World,,News,https://www.nytimes.com/1990/07/08/world/evolution-in-europe-bush-accepts-japanese-aid-to-china-with-limits.html
1990-07-08 05:00:00,U.S. READY TO LET SATELLITES GO UP ON SOVIET ROCKETS,,,U.S.,,News,https://www.nytimes.com/1990/07/08/us/us-ready-to-let-satellites-go-up-on-soviet-rockets.html
1990-07-11 05:00:00,THE HOUSTON SUMMIT;   SUMMIT IS DIVIDED ON AID TO MOSCOW,,,World,,News,https://www.nytimes.com/1990/07/11/world/the-houston-summit-summit-is-divided-on-aid-to-moscow.html
1990-07-14 05:00:00,Chinese Dissident to Study in U.S. (and to Speak Out),,,World,,News,https://www.nytimes.com/1990/07/14/world/chinese-dissident-to-study-in-us-and-to-speak-out.html
1990-07-14 05:00:00,Public Library Reaps a Communist Harvest,,,Arts,,News,https://www.nytimes.com/1990/07/14/arts/public-library-reaps-a-communist-harvest.html
1990-07-19 05:00:00,U.S. SHIFTS CAMBODIA POLICY; ENDS RECOGNITION OF REBELS; AGREES TO TALKS WITH HANOI,,,World,,News,https://www.nytimes.com/1990/07/19/world/us-shifts-cambodia-policy-ends-recognition-of-rebels-agrees-to-talks-with-hanoi.html
1990-07-20 05:00:00,China Faults U.S. Shift on Cambodia,,,World,,News,https://www.nytimes.com/1990/07/20/world/china-faults-us-shift-on-cambodia.html
1990-07-20 05:00:00,Hanoi's Partial Victory;   U.S. Shift on Cambodia Is Latest Example Of Pact With Moscow on Regional Disputes,,,World,,An Analysis; News Analysis,https://www.nytimes.com/1990/07/20/world/hanoi-s-partial-victory-us-shift-cambodia-latest-example-pact-with-moscow.html
1990-07-21 05:00:00,U.S. Says China Backs Halt In Weapons to Khmer Rouge,,,World,,News,https://www.nytimes.com/1990/07/21/world/us-says-china-backs-halt-in-weapons-to-khmer-rouge.html
1990-07-29 05:00:00,Whose Side Were They On?,,"LEAD: 

FRIENDS AND ENEMIES 

The United States, China, and the Soviet Union, 1948-1972. 

By Gordon H. Chang. 

Illustrated. 383 pp. 

Stanford, Calif.: 

Stanford University Press. $25.",Books,,Review,https://www.nytimes.com/1990/07/29/books/whose-side-were-they-on.html
1990-07-30 05:00:00,A Modern-Dance Troupe in China Stretches the Limits of Tradition,,,Arts,,News,https://www.nytimes.com/1990/07/30/arts/a-modern-dance-troupe-in-china-stretches-the-limits-of-tradition.html
1990-07-30 05:00:00,NEWS SUMMARY,,,New York,,Summary,https://www.nytimes.com/1990/07/30/nyregion/news-summary-182490.html
1990-08-06 05:00:00,Khmer Rouge Poised to Gain From U.S. Policy;   Impossible Compromise,,,Opinion,,Letter,https://www.nytimes.com/1990/08/06/opinion/l-khmer-rouge-poised-to-gain-from-us-policy-impossible-compromise-992090.html
1990-08-08 05:00:00,THE IRAQI INVASION;   U.S. Is Ready to Ask Soviets to Help With Naval Blockade of Iraq,,,World,,News,https://www.nytimes.com/1990/08/08/world/iraqi-invasion-us-ready-ask-soviets-help-with-naval-blockade-iraq.html
1990-08-15 05:00:00,BEIJING THAWING DIPLOMATIC FREEZE,,,World,,News,https://www.nytimes.com/1990/08/15/world/beijing-thawing-diplomatic-freeze.html
1990-08-15 05:00:00,Khmer Rouge Was Not a U.S. Creation,,,Opinion,,Letter,https://www.nytimes.com/1990/08/15/opinion/l-khmer-rouge-was-not-a-us-creation-020690.html
1990-08-19 05:00:00,Cory Aquino's Downhill Slide,,,Magazine,,News,https://www.nytimes.com/1990/08/19/magazine/cory-aquino-s-downhill-slide.html
1990-08-19 05:00:00,China's Greatest Dissident Writer: Dead but Still Dangerous,,,Books,,News,https://www.nytimes.com/1990/08/19/books/china-s-greatest-dissident-writer-dead-but-still-dangerous.html
1990-08-21 05:00:00,MEDICAL SCIENCE;   Success of a Horse Vaccine in China Raises Hope in Fight Against AIDS,,,Science,,News,https://www.nytimes.com/1990/08/21/science/medical-science-success-horse-vaccine-china-raises-hope-fight-against-aids.html
1990-08-23 05:00:00,U.S. in Plea On Textiles,,,Business,,News,https://www.nytimes.com/1990/08/23/business/us-in-plea-on-textiles.html
1990-08-30 05:00:00,THE U.N.'S WATERSHED: A SPECIAL REPORT:   CONFRONTATION IN THE GULF;   Putting Teeth in an Embargo: How U.S. Convinced the U.N.,,,World,,Special Report,https://www.nytimes.com/1990/08/30/world/un-s-watershed-special-report-confrontation-gulf-putting-teeth-embargo-us.html
1990-09-03 05:00:00,INTERNATIONAL REPORT;   Hopes Fade as Output Of Oil Lags in China,,,Business,,News,https://www.nytimes.com/1990/09/03/business/international-report-hopes-fade-as-output-of-oil-lags-in-china.html
1990-09-09 05:00:00,"DANCE;

Reflecting the Cultures Of a Wider World",,"LEAD: THE island of Bali's youngest artist-ambassadors will offer a program of music and dance on Friday when 22 Balinese children cap their cultural residency in Montclair with a public performance at Montclair State College. Their performance, along with many others throughout the state in the coming season, reflects the expansion of multicultural offerings in the national performing arts scene.",New York,,News,https://www.nytimes.com/1990/09/09/nyregion/dance-reflecting-the-cultures-of-a-wider-world.html
1990-09-09 05:00:00,Tales From the Dark Side,,,Magazine,,News,https://www.nytimes.com/1990/09/09/magazine/tales-from-the-dark-side.html
1990-09-12 05:00:00,Frustrated Chinese Look to U.S. as a Haven,,,World,,News,https://www.nytimes.com/1990/09/12/world/frustrated-chinese-look-to-us-as-a-haven.html
1990-09-17 05:00:00,"Writers in China Are Asked to Write, But Not Subversively",,,Arts,,News,https://www.nytimes.com/1990/09/17/arts/writers-in-china-are-asked-to-write-but-not-subversively.html
