tau,h,coef,se
τ = 0.50,16,0.0015487837858592687,0.09668556886103172
τ = 0.50,17,0.01701874346295591,0.09762975331364723
τ = 0.50,18,0.02758836612602943,0.09998363246194007
τ = 0.50,19,0.13514585349192024,0.09801932383716286
τ = 0.50,20,0.12213708431481442,0.09977202346389498
τ = 0.50,21,0.1232182861937843,0.10274709727061004
τ = 0.50,22,0.157624150366308,0.10144028460556442
τ = 0.50,23,0.17741635161044333,0.0985131882781275
τ = 0.50,24,0.16235976898285917,0.09645574960976849
τ = 0.50,25,0.18840642084300874,0.10012844251137082
τ = 0.50,26,0.1971273361444467,0.09995506354047558
τ = 0.50,27,0.17817777292413373,0.10102166475757264
τ = 0.50,28,0.1861945759054641,0.11030947559840276
τ = 0.50,29,0.27903066660711007,0.11063288399452
τ = 0.50,30,0.31598184325278206,0.10542906446704536
τ = 0.50,31,0.21966600249046678,0.11432773109336092
τ = 0.50,32,0.259977386312482,0.11770164876222312
τ = 0.50,33,0.2297186866496814,0.11785902188950029
τ = 0.50,34,0.21992934540076467,0.11814746103094464
τ = 0.50,35,0.20190838870014285,0.11550043886749362
τ = 0.50,36,0.15126461336215943,0.11311407044978178
τ = 0.50,37,0.2154145978954155,0.12222488089925607
τ = 0.50,38,0.13548176795410685,0.12472283973902848
τ = 0.50,39,0.19553782560390207,0.12543669892027445
τ = 0.50,40,0.09572986437980469,0.12327231213400545
τ = 0.50,41,0.08543696154296669,0.13160799384151858
τ = 0.50,42,0.14323935665933624,0.14149324133146673
τ = 0.50,43,0.09488574702269303,0.1430641854387174
