outcome,h,coef,se,sig
gold,1,0.0019618156005855045,0.005016613394257835,0
gold,2,0.005150075802462947,0.004624982889224947,0
gold,3,-0.0034614110190463584,0.004354261634755041,0
gold,4,-0.0016802389618881532,0.004604238874731391,0
gold,5,0.0059624717977160785,0.006788468396540985,0
gold,6,-0.012939718196123134,0.00819926917191961,0
gold,7,0.005728009450887318,0.004519707077522695,0
gold,8,0.0077475614592963545,0.004559100647281041,1
gold,9,-0.0006393211052930388,0.005358682146089493,0
gold,10,-0.003643769648153736,0.006234363656612867,0
gold,11,-0.0013062335742224337,0.004712834395213866,0
gold,12,-0.00019526879679422976,0.004244089334309541,0
gold,13,0.0027809107123794446,0.004508373502786209,0
gold,14,-0.0039775379044894015,0.0037207220428784587,0
gold,15,-0.0011342458745701625,0.003424699298046633,0
gold,16,-0.0028313105259806554,0.0038968932559761004,0
gold,17,0.0033837476909650797,0.00387570742751166,0
gold,18,0.003720434703907598,0.0034435122124905526,0
gold,19,0.000797575462119079,0.004778724625377529,0
gold,20,-0.006439007093928803,0.005023445247058041,0
gold,21,0.0004508035580625994,0.004355614530586099,0
gold,22,0.0038276600549736013,0.004479030453523853,0
gold,23,0.0015047495337189186,0.0024821906218844944,0
gold,24,-0.0021612600547632485,0.00650726496781238,0
gold,25,0.008579381747182292,0.007965866803720127,0
gold,26,-0.011544534933237795,0.006076687657666966,1
gold,27,0.0031064207378098366,0.003900224819470534,0
gold,28,0.0031554924070199535,0.003803414647949042,0
gold,29,-0.003304691157308025,0.004523991062905225,0
gold,30,0.0024673583545519974,0.0037307284251085157,0
gold,31,-0.00046574249817330794,0.004490666888093956,0
gold,32,0.003945136994208327,0.004164503769164399,0
gold,33,-0.0005393789140835048,0.004381265636003782,0
gold,34,-0.005669465761197028,0.004045804470686834,0
gold,35,0.0035144638445910007,0.004271427705015325,0
gold,36,-0.00262959914126288,0.004771111981216814,0
